id,latitude,longitude
S4,43.121,-89.478
S5,43.122,-89.478
S6,43.123,-89.477
S13,43.119,-89.478
S26,43.108,-89.484
S81,43.087,-89.513
S83,43.091,-89.504
S86,43.11,-89.5
S88,43.103,-89.498
S158,43.048,-89.382
S164,43.034,-89.381
S189,43.014,-89.662
S218,43.08,-89.54
S243,43.043,-89.496
S245,43.034,-89.49
S247,43.035,-89.492
S249,43.086,-89.516
S251,43.08,-89.518
S253,43.077,-89.515
S254,43.076,-89.511
S256,43.075,-89.518
S319,43.041,-89.36
S335,43.126,-89.365
S340,43.142,-89.313
S369,43.118,-89.313
S371,43.117,-89.311
S391,43.1,-89.306
S397,43.075,-89.28
S417,43.123,-89.332
S465,43.074,-89.294
S513,43.153,-89.388
S515,43.123,-89.333
S522,43.083,-89.296
S523,43.142,-89.356
S526,43.111,-89.295
S530,43.093,-89.289
S552,43.071,-89.458
S556,43.047,-89.514
S558,43.089,-89.323
S559,43.091,-89.326
S565,43.051,-89.505
S567,43.096,-89.34
S583,43.039,-89.387
S584,43.074,-89.511
S587,43.126,-89.341
S590,43.089,-89.49
S597,43.133,-89.387
S598,43.135,-89.381
S607,43.088,-89.267
S615,43.134,-89.326
S618,43.128,-89.334
S619,43.13,-89.328
S620,43.044,-89.369
S676,43.19,-89.213
S700,43.175,-89.231
S715,43.202,-89.226
S718,43.189,-89.233
S719,43.191,-89.234
S724,43.189,-89.234
S725,43.141,-89.313
S900,43.064,-89.344
S969,43.088,-89.327
S972,43.093,-89.275
S973,43.094,-89.274
S975,43.102,-89.26
S978,43.088,-89.257
S1931,43.015,-89.504
S1932,43.013,-89.504
S2041,43.039,-89.504
S3262,43.095,-89.377
S3333,43.132,-89.373
S3921,43.105,-89.313
S3922,43.105,-89.311
S4022,43.098,-89.332
S4130,43.146,-89.358
S8300,43.097,-89.32
S8301,43.029,-89.37
S8512,43.042,-89.498
S9007,43.105,-89.527
S9009,43.045,-89.413
S9014,43.036,-89.484
S9019,43.038,-89.378
S9098,43.126,-89.366
S9601,43.043,-89.368
S9970,43.129,-89.368
S9971,43.129,-89.368